from_item	to_item
7409189	2519598785
26002154	800008313
84321454	3919289022
380806748	3261353684
465043967	3190916303
499683006	1409190604
499683006	865846625
499683006	1055679805
668299740	4104549924
668299740	2739107182
754480263	1193964439
1219329868	2142980412
1342610602	2095565695
1437614329	1252627263
1439347412	2947183272
1548066885	2356412290
1548066885	2463960640
1710079648	1804594021
1710079648	2956256701
1770441818	3884003354
1813726886	1152158042
811521119	710436191
857669956	1662311306
876563814	1797283378
876563814	865846625
968099481	7409189
968099481	1292979587
1009965641	709540378
1047818222	3731635960
1047818222	3357231760
1102081447	493591231
1144549437	4075861416
1976391348	3812615317
1998374645	2121044373
2010028405	4053935515
2081037738	3005970438
2447176615	1250307611
2566692615	1427630806
2829638276	2566692615
2922054143	2061878743
2951612397	2717651715
3077079169	690458959
3077079169	673001892
3261353684	915014646
3331811235	2152872419
3399065363	3074274290
3399065363	2447176615
3633614685	3585132399
3633614685	2407781327
3776945997	787198704
4139877411	3977876567
4139877411	1150006784
4139877411	334300056
